iso3,year,gdp_usd,population,inflation_rate,gdp_log,pop_log,node_id
COL,2018,334198218098.276,49024465.0,0.0,26.5350001212541,17.707830037585527,39
COM,2018,1178530633.24599,771590.0,0.0,20.88753427427159,13.556209895871035,40
CPV,2018,2205099506.99994,513415.0,0.0,21.51403847317161,13.14884171171736,41
CRI,2018,62420164991.5374,4957818.0,0.0,24.857154217049526,15.416476484254979,42
CUB,2018,100050036100.0,11227118.0,0.0,25.328936258805673,16.2338427488325,43
CUW,2018,3046364819.53197,159336.0,0.0,21.837214854612544,11.978776735093,44
CYM,2018,5530178498.90783,65941.0,0.0,22.433485930424062,11.096530846769337,45
CYP,2018,25754001367.5448,1270737.0,0.0,23.971855844937117,14.055108392022381,46
CZE,2018,251992360762.236,10629928.0,0.0,26.25266460956674,16.17918407108604,47
DEU,2018,4055433215301.96,82905782.0,0.0,29.03107863263609,18.23321537641797,48
DJI,2018,2913464658.08768,1071882.0,0.0,21.792608814419836,13.88492747286544,49
DMA,2018,628244444.444444,68174.0,0.0,20.258439893034833,11.129833207713789,50
DNK,2018,355293374912.393,5793636.0,0.0,26.596209693341322,15.572270804330481,51
DOM,2018,84994732049.3461,10782053.0,0.0,25.16585511563786,16.193393643328456,52
DZA,2018,194554483655.528,42505035.0,0.0,25.99397808240557,17.565133120992417,53
ECU,2018,107478961000.0,17049547.0,0.0,25.400560953741508,16.651634251078466,54
EGY,2018,262588632526.73,105682094.0,0.0,26.29385450971261,18.475946041978823,55
ESP,2018,1431642809327.06,46782011.0,0.0,27.98984371852619,17.661009328028673,56
EST,2018,31222632740.7247,1321977.0,0.0,24.164409077168965,14.094639657802952,57
ETH,2018,83337901071.9697,112664152.0,0.0,25.146169277514012,18.53992185387941,58
FIN,2018,273869255596.078,5515525.0,0.0,26.335916660099226,15.523077582368314,59
FJI,2018,5581425327.44397,917180.0,0.0,22.442710015926625,13.729060114531087,60
FRA,2018,2781576320884.39,67158348.0,0.0,28.65403890483614,18.022563806786277,61
